"","gene","vP0_1","vP0_2","vP4_1","vP4_2","vP7_1","vP7_2","vAd_1","vAd_2"
"225","ENSMUSG00000101589.2",3,3,1,4,5,1,1,1
"226","ENSMUSG00000102048.2",0,0,0,1,0,0,0,0
"227","ENSMUSG00000089534.3",0,0,1,0,0,0,0,0
"228","ENSMUSG00000067780.4",148,220,279,354,277,245,90,92
"229","ENSMUSG00000100053.2",2,2,1,4,4,1,1,1
"230","ENSMUSG00000085125.8",0,1,2,1,1,3,1,0
"231","ENSMUSG00000025776.14",22,20,15,26,27,20,38,29
"232","ENSMUSG00000099895.2",0,1,0,0,1,0,0,0
"233","ENSMUSG00000100554.2",0,0,0,0,0,0,0,0
"234","ENSMUSG00000099473.2",0,0,0,0,0,0,0,0
"235","ENSMUSG00000099591.2",0,0,0,0,0,0,0,0
"236","ENSMUSG00000109887.2",0,0,0,0,0,0,2,0
"237","ENSMUSG00000102001.2",0,0,0,0,0,0,0,0
"238","ENSMUSG00000101717.3",0,0,0,0,0,0,0,0
"239","ENSMUSG00000025774.15",0,0,0,0,0,0,0,0
"240","ENSMUSG00000070977.5",0,0,0,0,0,0,0,0
"241","ENSMUSG00000073735.2",0,0,0,0,0,0,0,0
"242","ENSMUSG00000067773.7",0,0,0,0,0,0,0,0
"243","ENSMUSG00000101685.2",0,0,1,0,0,0,0,0
"244","ENSMUSG00000101306.2",0,0,0,0,0,0,0,0
"245","ENSMUSG00000088800.4",0,0,0,0,0,0,0,0
"246","ENSMUSG00000101644.2",0,0,0,0,0,0,0,0
"247","ENSMUSG00000099433.2",0,0,0,0,0,0,0,0
"248","ENSMUSG00000089787.3",0,0,0,0,0,0,0,0
"249","ENSMUSG00000042596.8",0,0,0,0,0,0,0,0
"250","ENSMUSG00000100720.2",2,2,0,2,0,2,0,0
"251","ENSMUSG00000025927.14",0,1,1,1,1,0,1,0
"252","ENSMUSG00000100538.2",0,0,0,0,0,0,0,0
"253","ENSMUSG00000101117.2",0,0,0,0,0,0,0,0
"254","ENSMUSG00000100204.2",1,0,1,0,0,0,2,1
"255","ENSMUSG00002076883.1",0,0,0,0,0,0,0,0
"256","ENSMUSG00000102597.2",0,1,0,0,0,0,0,0
"257","ENSMUSG00000043760.17",0,0,0,0,0,0,0,0
"258","ENSMUSG00000104095.2",0,0,0,0,0,0,0,0
"259","ENSMUSG00000089914.3",0,0,0,0,0,0,0,0
"260","ENSMUSG00000090142.3",0,1,0,1,0,1,0,0
"261","ENSMUSG00000070175.3",0,0,0,0,0,0,0,0
"262","ENSMUSG00000099906.3",0,0,0,0,0,0,0,0
"263","ENSMUSG00000065559.3",0,0,0,0,0,0,0,0
"264","ENSMUSG00000065480.3",0,0,0,0,0,0,0,0
"265","ENSMUSG00000025929.5",0,0,0,0,0,0,0,0
"266","ENSMUSG00000041872.10",0,1,0,2,2,0,0,0
"267","ENSMUSG00000041859.11",857,895,806,1069,313,430,82,113
"268","ENSMUSG00000099714.2",0,0,0,0,0,0,0,0
"269","ENSMUSG00000102121.2",0,0,0,0,0,0,0,0
"270","ENSMUSG00000088858.3",0,0,0,0,0,0,0,0
"271","ENSMUSG00000097934.2",2,1,0,0,0,1,1,1
"272","ENSMUSG00000025931.16",112,89,105,107,78,72,48,63
"273","ENSMUSG00000077314.3",0,1,0,0,0,0,0,1
"274","ENSMUSG00000100929.2",0,0,0,0,0,0,0,1
"275","ENSMUSG00000041809.6",15,20,17,16,11,18,8,8
"276","ENSMUSG00000041779.6",365,313,388,509,273,273,210,221
"277","ENSMUSG00000099971.2",0,0,0,0,1,0,0,0
"278","ENSMUSG00000100819.2",4,6,2,2,1,0,2,2
"279","ENSMUSG00000025933.16",53,33,49,46,22,26,40,42
"280","ENSMUSG00000102633.2",0,1,0,2,0,0,0,1
"281","ENSMUSG00000025934.16",7,12,9,9,8,8,186,94
"282","ENSMUSG00000099343.2",0,1,0,1,0,0,1,0
"283","ENSMUSG00000096375.3",1,1,0,0,1,0,0,0
"284","ENSMUSG00000025936.16",0,0,1,0,0,0,8,1
"285","ENSMUSG00000093963.2",0,0,0,0,0,0,0,0
"286","ENSMUSG00000067750.4",0,0,0,0,0,0,0,0
"287","ENSMUSG00000086194.2",0,0,0,0,0,0,0,0
"288","ENSMUSG00000094436.2",0,0,0,0,0,0,0,0
"289","ENSMUSG00000041722.8",1,0,0,1,0,0,0,0
"290","ENSMUSG00000085507.2",0,0,0,0,0,0,0,0
"291","ENSMUSG00000094926.2",0,0,0,0,0,0,0,0
"292","ENSMUSG00000085079.4",0,0,0,0,0,0,0,0
"293","ENSMUSG00000085679.3",0,0,0,0,0,0,0,0
"294","ENSMUSG00000028033.17",157,151,93,71,36,25,95,23
"295","ENSMUSG00000104138.2",0,1,0,0,1,0,0,0
"296","ENSMUSG00000082935.4",79,66,15,115,50,46,106,61
"297","ENSMUSG00000103748.2",1,7,3,0,1,2,1,0
"298","ENSMUSG00000099692.2",0,0,1,0,0,0,1,1
"299","ENSMUSG00000100418.2",0,0,0,0,0,0,0,0
"300","ENSMUSG00000041670.20",8,18,13,3,4,6,2,0
"301","ENSMUSG00000097642.2",0,0,0,0,0,0,0,0
"302","ENSMUSG00000101468.2",1,0,0,0,0,0,0,0
"303","ENSMUSG00000101227.2",0,0,0,0,0,0,0,0
"304","ENSMUSG00000073730.3",0,0,0,0,0,0,0,0
"305","ENSMUSG00000089553.3",0,0,0,0,0,0,0,0
"306","ENSMUSG00000102766.2",0,1,0,0,0,0,1,0
"307","ENSMUSG00000065405.5",0,0,0,0,0,0,0,0
"308","ENSMUSG00000097970.2",7,15,8,19,20,12,40,13
"309","ENSMUSG00000065567.3",0,0,0,0,0,0,0,0
