"","gene","vP0_1","vP0_2","vP4_1","vP4_2","vP7_1","vP7_2","vAd_1","vAd_2"
"19894","ENSMUSG00000084102.3",0,0,0,0,0,0,0,0
"19895","ENSMUSG00000080705.2",0,0,0,0,0,0,0,0
"19896","ENSMUSG00000100378.2",0,0,0,0,0,0,0,0
"19897","ENSMUSG00000070810.11",0,0,0,0,0,0,0,0
"19898","ENSMUSG00000098354.2",0,0,0,0,0,0,0,1
"19899","ENSMUSG00000098506.3",4,5,8,10,4,6,5,4
"19900","ENSMUSG00000099216.2",0,0,0,0,0,0,0,0
"19901","ENSMUSG00000098782.3",0,0,0,0,0,0,0,0
"19902","ENSMUSG00000107673.2",0,0,0,0,0,0,0,0
"19903","ENSMUSG00000030378.16",0,0,0,0,0,0,0,0
"19904","ENSMUSG00000094156.3",0,0,0,0,0,0,0,0
"19905","ENSMUSG00000098290.2",0,0,0,0,0,1,0,0
"19906","ENSMUSG00000098741.2",1,0,0,0,0,0,0,0
"19907","ENSMUSG00000041596.13",10,14,8,30,16,21,8,2
"19908","ENSMUSG00000099242.2",0,0,1,0,1,3,0,0
"19909","ENSMUSG00000100586.3",2,9,5,16,9,7,1,0
"19910","ENSMUSG00000099055.2",1,2,1,3,2,0,1,0
"19911","ENSMUSG00000098520.2",0,0,0,2,0,0,1,0
"19912","ENSMUSG00000093773.2",0,0,0,0,0,0,0,0
"19913","ENSMUSG00000055942.14",0,0,0,0,0,0,0,0
"19914","ENSMUSG00000093665.3",0,0,0,0,0,0,0,0
"19915","ENSMUSG00000105566.2",0,0,0,0,0,0,0,0
"19916","ENSMUSG00000098330.2",0,0,0,0,0,0,0,0
"19917","ENSMUSG00000098508.2",0,0,0,0,0,0,0,0
"19918","ENSMUSG00000093549.3",0,0,0,0,0,0,0,0
"19919","ENSMUSG00000093664.3",0,0,0,0,0,0,0,0
"19920","ENSMUSG00000064977.3",0,0,0,0,0,0,0,0
"19921","ENSMUSG00000093584.2",0,0,0,0,0,0,0,0
"19922","ENSMUSG00000106552.2",0,0,0,0,0,0,0,0
"19923","ENSMUSG00000098309.2",0,0,0,0,0,0,0,0
"19924","ENSMUSG00000098564.2",0,0,0,0,0,0,0,0
"19925","ENSMUSG00000093736.2",0,0,0,0,0,0,0,0
"19926","ENSMUSG00000099198.2",0,0,0,0,0,0,0,0
"19927","ENSMUSG00000098469.2",0,0,0,0,0,0,0,0
"19928","ENSMUSG00000094555.2",0,0,0,0,0,0,0,0
"19929","ENSMUSG00000119510.1",0,0,0,0,0,0,0,0
"19930","ENSMUSG00000093509.2",0,0,0,0,0,0,0,0
"19931","ENSMUSG00000105505.2",0,0,0,0,0,0,0,0
"19932","ENSMUSG00000099056.2",0,0,0,0,0,0,0,0
"19933","ENSMUSG00000099087.2",0,0,0,0,0,0,0,0
"19934","ENSMUSG00000093567.2",0,0,0,0,0,0,0,0
"19935","ENSMUSG00000093707.2",0,0,0,0,0,0,0,0
"19936","ENSMUSG00000093770.2",0,0,0,0,0,0,0,0
"19937","ENSMUSG00000105094.2",0,0,0,0,0,0,0,0
"19938","ENSMUSG00000098382.2",0,0,0,0,0,0,0,0
"19939","ENSMUSG00000099298.2",0,0,0,0,0,0,0,0
"19940","ENSMUSG00000094416.2",0,0,0,0,0,0,0,0
"19941","ENSMUSG00000095952.2",0,0,0,0,0,0,0,0
"19942","ENSMUSG00000095974.2",0,0,0,0,0,0,0,0
"19943","ENSMUSG00000093623.2",0,0,0,0,0,0,0,0
"19944","ENSMUSG00000096414.2",0,0,0,0,0,0,0,0
"19945","ENSMUSG00000094412.2",0,0,0,0,0,0,0,0
"19946","ENSMUSG00000093961.2",0,0,0,0,0,0,0,0
"19947","ENSMUSG00000094967.2",0,0,0,0,0,0,0,0
"19948","ENSMUSG00000093940.2",0,0,0,0,0,0,0,0
"19949","ENSMUSG00000096797.2",0,0,0,0,0,0,0,0
"19950","ENSMUSG00000095922.2",0,0,0,0,0,0,0,0
"19951","ENSMUSG00000094243.2",0,0,0,0,0,0,0,0
"19952","ENSMUSG00000096439.2",0,0,0,0,0,0,0,0
"19953","ENSMUSG00000098404.2",109,110,111,123,79,64,77,68
"19954","ENSMUSG00000093727.2",0,0,0,0,0,0,0,0
"19955","ENSMUSG00000106582.2",0,0,0,0,0,0,0,0
"19956","ENSMUSG00000098561.2",0,0,0,0,0,0,0,0
"19957","ENSMUSG00000106616.2",0,0,0,0,0,0,0,0
"19958","ENSMUSG00000093554.2",0,0,0,0,0,0,0,0
"19959","ENSMUSG00000098744.2",0,0,0,0,0,0,0,0
"19960","ENSMUSG00000074369.13",0,0,0,0,0,0,0,0
"19961","ENSMUSG00000054310.17",0,0,0,0,0,0,0,0
"19962","ENSMUSG00000098278.2",0,0,0,0,0,0,0,0
"19963","ENSMUSG00000095274.2",0,0,0,0,0,0,0,0
"19964","ENSMUSG00000093913.2",0,0,0,0,0,0,0,0
"19965","ENSMUSG00000093397.2",0,0,0,0,0,0,0,0
"19966","ENSMUSG00000066772.13",0,0,0,0,0,0,0,0
"19967","ENSMUSG00000093421.2",0,0,0,0,0,0,0,0
"19968","ENSMUSG00000093719.2",0,0,0,0,0,0,0,0
"19969","ENSMUSG00000098861.2",0,0,0,0,0,0,0,0
"19970","ENSMUSG00000098386.2",0,0,0,0,0,0,0,0
"19971","ENSMUSG00000093513.2",0,0,0,0,0,0,0,0
"19972","ENSMUSG00000119159.1",0,0,0,0,0,0,0,0
"19973","ENSMUSG00000105898.2",0,0,0,0,0,0,0,0
"19974","ENSMUSG00000106346.3",0,0,0,1,0,0,0,0
"19975","ENSMUSG00000093420.2",0,0,0,0,0,0,0,0
"19976","ENSMUSG00000119732.1",0,0,0,0,0,0,0,0
"19977","ENSMUSG00000093683.3",0,0,0,0,0,0,0,0
"19978","ENSMUSG00000105314.2",0,0,0,0,0,0,0,0
"19979","ENSMUSG00000074366.10",0,0,0,0,0,0,0,0
"19980","ENSMUSG00000104759.3",0,0,0,0,0,0,0,0
"19981","ENSMUSG00000105410.2",0,0,0,0,0,0,0,0
"19982","ENSMUSG00000092576.4",0,0,0,0,0,0,0,0
"19983","ENSMUSG00000041583.9",6,1,0,0,2,2,1,1
"19984","ENSMUSG00000041578.16",0,0,0,0,0,0,0,0
"19985","ENSMUSG00000074365.14",0,0,0,1,0,0,0,1
"19986","ENSMUSG00000106050.2",0,0,0,0,0,0,0,0
"19987","ENSMUSG00000041571.11",1941,1847,1221,1707,1000,1090,1212,1241
"19988","ENSMUSG00000041560.13",1830,1830,1466,1707,1190,1158,1365,1281
"19989","ENSMUSG00000080478.3",2,1,1,0,0,1,0,0
"19990","ENSMUSG00000093249.4",0,0,0,0,0,0,0,0
"19991","ENSMUSG00000074364.7",5153,4749,5904,6917,4525,4511,2547,2313
"19992","ENSMUSG00000070808.5",464,495,406,511,278,286,234,232
"19993","ENSMUSG00000109984.2",11,9,3,8,9,6,3,1
"19994","ENSMUSG00000078796.5",0,2,0,0,0,0,0,0
"19995","ENSMUSG00000006024.14",1394,1418,1318,1465,919,938,1410,1382
"19996","ENSMUSG00000006021.6",384,388,330,387,216,259,278,291
"19997","ENSMUSG00000030376.9",100,111,64,96,32,36,43,27
"19998","ENSMUSG00000041420.19",95,109,86,99,52,71,50,45
"19999","ENSMUSG00000006019.16",347,337,232,259,151,171,202,192
"20000","ENSMUSG00000110413.2",0,0,0,0,0,0,0,0
"20001","ENSMUSG00000074361.12",17,12,8,0,3,11,34,23
"20002","ENSMUSG00000080413.3",0,0,0,0,0,0,0,0
"20003","ENSMUSG00000049130.7",48,39,32,26,26,31,121,130
"20004","ENSMUSG00000091811.3",195,169,188,154,154,170,251,186
"20005","ENSMUSG00000041375.19",559,662,553,574,410,434,461,409
"20006","ENSMUSG00000002083.14",107,92,74,93,74,65,37,52
"20007","ENSMUSG00000052833.10",1468,1391,1384,1695,710,816,697,630
"20008","ENSMUSG00000059273.10",1541,1582,1105,1414,760,761,837,684
"20009","ENSMUSG00000110181.2",2,1,0,1,0,0,3,0
"20010","ENSMUSG00000109781.2",2,4,5,7,3,3,2,4
"20011","ENSMUSG00000109647.2",8,1,4,3,6,0,1,0
"20012","ENSMUSG00000019158.10",411,432,477,498,384,378,568,590
"20013","ENSMUSG00000001988.10",5,12,10,9,3,3,7,7
"20014","ENSMUSG00000119216.1",0,0,0,0,0,0,0,0
"20015","ENSMUSG00000058230.13",4429,4745,3806,4403,2339,2187,2487,1943
"20016","ENSMUSG00000099423.2",3,1,0,0,3,2,2,1
"20017","ENSMUSG00000101135.2",6,9,5,8,5,8,1,1
"20018","ENSMUSG00000100583.7",0,0,1,0,1,3,1,0
"20019","ENSMUSG00000108316.2",0,0,0,0,1,0,0,0
"20020","ENSMUSG00000101008.2",0,0,0,1,2,0,0,0
"20021","ENSMUSG00000064745.3",0,0,0,1,0,0,0,0
"20022","ENSMUSG00000108610.2",2,2,1,1,1,0,1,0
"20023","ENSMUSG00000108307.2",0,0,0,0,1,0,0,0
"20024","ENSMUSG00000078795.3",2,7,4,14,2,2,1,0
"20025","ENSMUSG00000108370.2",1,3,2,1,2,1,0,0
"20026","ENSMUSG00000108366.2",4,4,5,1,1,1,2,2
"20027","ENSMUSG00000007209.5",1,0,0,1,0,0,0,0
"20028","ENSMUSG00000008036.12",948,887,801,1002,469,493,454,467
"20029","ENSMUSG00000001918.18",422,423,287,329,139,154,349,277
"20030","ENSMUSG00000048920.9",789,843,710,777,504,528,878,865
"20031","ENSMUSG00000030374.16",1995,1996,1743,1931,1107,1078,1340,1118
"20032","ENSMUSG00000041187.17",555,459,548,673,466,468,467,394
"20033","ENSMUSG00000097842.3",20,17,13,11,10,5,17,13
"20034","ENSMUSG00000078794.5",1039,929,645,729,424,409,584,426
"20035","ENSMUSG00000108671.2",0,1,0,1,2,1,0,1
"20036","ENSMUSG00000063594.6",16,15,21,27,18,13,4,2
"20037","ENSMUSG00000043017.10",49,58,68,85,47,53,65,60
"20038","ENSMUSG00000019370.11",4601,4781,5555,5839,3195,3613,3578,3077
"20039","ENSMUSG00000070802.6",368,342,300,298,163,158,132,188
"20040","ENSMUSG00000064689.3",0,0,0,0,0,0,0,0
"20041","ENSMUSG00000041141.8",0,2,0,1,1,1,0,2
"20042","ENSMUSG00000108348.3",2,4,2,1,1,0,2,0
"20043","ENSMUSG00000041117.9",1342,1360,728,984,379,429,152,102
"20044","ENSMUSG00000003099.12",1593,1768,1380,1658,890,916,1308,1232
"20045","ENSMUSG00000004328.16",1072,1226,74,114,20,30,54,65
"20046","ENSMUSG00000108807.2",4,9,0,0,0,1,0,0
"20047","ENSMUSG00000066760.13",4,4,0,1,0,0,1,0
"20048","ENSMUSG00000108561.2",0,1,0,0,0,0,0,0
"20049","ENSMUSG00000108694.2",1,2,0,0,0,0,1,2
"20050","ENSMUSG00000053228.13",0,0,0,0,0,0,0,0
"20051","ENSMUSG00000108462.2",0,0,0,0,0,0,0,0
"20052","ENSMUSG00000023159.9",0,0,0,0,0,0,0,0
"20053","ENSMUSG00000108782.2",0,0,0,0,0,0,0,0
"20054","ENSMUSG00000108441.2",0,0,0,0,0,0,0,0
"20055","ENSMUSG00002075725.1",0,0,0,0,0,0,0,0
"20056","ENSMUSG00002076502.1",0,0,0,0,0,0,0,0
"20057","ENSMUSG00000108792.2",0,0,0,0,0,0,0,0
"20058","ENSMUSG00000108654.2",0,0,0,0,0,0,0,0
"20059","ENSMUSG00000108558.2",0,0,0,0,0,0,0,0
"20060","ENSMUSG00000108638.2",0,0,1,0,0,0,0,0
"20061","ENSMUSG00000008789.11",0,0,0,0,0,0,0,0
"20062","ENSMUSG00000063830.6",1,2,2,0,0,2,0,0
"20063","ENSMUSG00000108685.2",0,0,0,0,0,0,0,0
"20064","ENSMUSG00000023185.5",0,0,0,0,0,0,0,0
"20065","ENSMUSG00000078793.11",0,0,0,0,0,0,0,0
"20066","ENSMUSG00000030368.11",0,0,0,0,0,0,0,0
"20067","ENSMUSG00000057195.14",0,0,0,0,0,0,0,0
"20068","ENSMUSG00002076230.1",0,0,0,0,0,0,0,0
"20069","ENSMUSG00000108331.2",0,0,0,0,0,0,0,0
"20070","ENSMUSG00000030366.11",0,0,0,0,0,0,0,0
"20071","ENSMUSG00000108545.2",0,0,0,0,0,0,0,0
"20072","ENSMUSG00000066756.6",0,0,0,0,0,0,0,0
"20073","ENSMUSG00000108798.2",10,2,0,0,0,1,0,0
"20074","ENSMUSG00000054005.5",0,0,0,0,0,0,0,0
"20075","ENSMUSG00000108374.2",0,0,0,0,0,0,0,0
"20076","ENSMUSG00000003505.16",0,0,0,0,0,0,0,0
"20077","ENSMUSG00000109235.2",0,0,0,0,0,0,0,0
"20078","ENSMUSG00000109209.2",1,8,2,4,1,0,3,0
"20079","ENSMUSG00002075217.1",0,0,0,0,0,0,0,0
"20080","ENSMUSG00000030373.7",0,0,0,0,0,0,0,0
"20081","ENSMUSG00000109264.2",0,0,0,0,0,0,0,0
"20082","ENSMUSG00000108906.2",0,0,0,0,0,0,0,0
"20083","ENSMUSG00000070799.5",0,0,0,0,0,0,0,0
"20084","ENSMUSG00000109504.2",0,0,0,0,0,0,0,0
"20085","ENSMUSG00000109355.2",0,0,0,0,0,0,0,0
"20086","ENSMUSG00000070798.5",0,2,2,0,0,0,0,0
"20087","ENSMUSG00000119780.1",0,0,0,0,0,0,0,0
"20088","ENSMUSG00000070797.5",0,0,0,0,0,0,0,0
"20089","ENSMUSG00000109525.2",0,0,0,0,0,0,0,0
"20090","ENSMUSG00000109159.2",0,0,0,0,0,0,0,0
"20091","ENSMUSG00000074359.3",0,0,0,0,0,0,0,0
"20092","ENSMUSG00000108992.2",0,0,0,0,0,0,0,0
"20093","ENSMUSG00000109053.2",0,0,0,0,0,0,0,0
"20094","ENSMUSG00000070796.12",0,0,0,0,0,0,0,0
"20095","ENSMUSG00000109180.2",0,0,0,0,0,0,0,0
"20096","ENSMUSG00000063305.11",0,0,0,0,0,0,0,0
"20097","ENSMUSG00000109571.2",0,0,0,0,0,0,0,0
"20098","ENSMUSG00000108882.2",0,0,0,0,0,0,0,0
"20099","ENSMUSG00000044903.16",0,0,2,0,0,0,0,0
"20100","ENSMUSG00000109292.2",0,0,0,0,0,0,0,0
"20101","ENSMUSG00000108835.2",0,0,0,0,0,0,0,0
"20102","ENSMUSG00000109023.2",0,0,0,0,0,0,0,0
"20103","ENSMUSG00000119516.1",0,0,0,0,0,0,0,0
"20104","ENSMUSG00000109234.2",0,0,0,0,0,0,0,0
"20105","ENSMUSG00000109116.2",0,1,0,0,0,0,0,0
"20106","ENSMUSG00000004542.16",0,0,0,0,0,0,0,0
"20107","ENSMUSG00000109490.2",0,0,0,0,0,0,0,0
"20108","ENSMUSG00000004540.8",0,0,1,4,1,1,1,0
"20109","ENSMUSG00000108471.2",0,0,0,0,0,0,0,0
"20110","ENSMUSG00000040987.16",113,83,140,151,137,165,87,178
"20111","ENSMUSG00000030413.8",10,8,8,8,5,8,9,7
"20112","ENSMUSG00000074358.10",227,247,267,286,145,178,125,104
"20113","ENSMUSG00000030411.17",295,266,312,362,264,293,245,171
"20114","ENSMUSG00000051965.9",0,1,0,1,2,1,0,0
"20115","ENSMUSG00000108428.2",0,0,0,0,0,0,0,0
"20116","ENSMUSG00000074355.3",21,22,16,19,24,10,10,5
"20117","ENSMUSG00000048481.16",35,47,27,31,27,21,45,30
"20118","ENSMUSG00000086533.3",35,45,38,35,32,20,15,18
"20119","ENSMUSG00000044030.5",648,582,509,551,331,334,412,377
"20120","ENSMUSG00000040891.7",0,0,0,0,0,0,0,0
"20121","ENSMUSG00000023118.16",1995,1900,1785,2033,1049,1204,1586,1979
"20122","ENSMUSG00000040866.14",1,0,0,0,1,0,0,1
"20123","ENSMUSG00000030410.17",1042,1049,788,950,562,555,820,682
"20124","ENSMUSG00000030409.17",3396,3517,5571,4845,4871,4313,10845,8417
"20125","ENSMUSG00000092659.3",2,5,3,0,4,0,4,5
"20126","ENSMUSG00000040841.6",449,450,390,413,283,279,300,291
"20127","ENSMUSG00000085601.8",4,6,8,4,1,1,2,0
"20128","ENSMUSG00000050428.8",210,191,154,165,117,113,102,130
"20129","ENSMUSG00000030407.3",156,140,142,164,91,90,96,134
"20130","ENSMUSG00000040824.4",498,526,405,517,275,356,377,316
"20131","ENSMUSG00000030406.8",132,207,30,62,27,11,28,7
"20132","ENSMUSG00000040811.16",1260,1304,802,1014,561,548,515,346
"20133","ENSMUSG00000065543.3",0,0,0,0,0,0,0,0
"20134","ENSMUSG00000044317.8",100,120,125,171,125,153,128,219
"20135","ENSMUSG00000052214.10",1532,1376,1721,1843,1163,1111,2142,2114
"20136","ENSMUSG00000064580.3",0,3,1,1,3,5,0,0
"20137","ENSMUSG00000030403.10",1717,1559,1127,1531,763,765,506,661
"20138","ENSMUSG00000089636.2",23,19,11,28,6,16,10,8
"20139","ENSMUSG00000030402.6",0,0,1,1,0,0,1,1
"20140","ENSMUSG00000030401.17",533,438,410,347,437,372,795,837
"20141","ENSMUSG00000097266.2",0,1,0,0,1,0,0,0
"20142","ENSMUSG00000003545.4",8,16,8,11,8,12,23,16
"20143","ENSMUSG00000108854.2",18,26,27,22,15,16,7,6
"20144","ENSMUSG00000109366.2",10,11,4,13,8,9,12,9
"20145","ENSMUSG00000003549.10",252,297,221,300,190,172,250,230
"20146","ENSMUSG00000047649.10",272,311,226,259,154,177,258,275
"20147","ENSMUSG00000040734.15",915,720,787,858,470,462,682,709
"20148","ENSMUSG00000030400.18",262,284,250,238,139,145,171,178
"20149","ENSMUSG00000097231.3",11,18,19,11,6,6,13,6
"20150","ENSMUSG00000076315.4",3,6,4,3,1,4,2,1
"20151","ENSMUSG00000040714.15",10,5,3,2,1,1,3,0
"20152","ENSMUSG00000030399.3",27987,25317,23889,22808,16106,15863,31136,33322
"20153","ENSMUSG00000040705.3",38,42,18,28,80,94,80,33
"20154","ENSMUSG00000030397.12",1035,950,692,766,517,550,531,623
"20155","ENSMUSG00000065388.3",0,0,0,0,0,0,0,0
"20156","ENSMUSG00000011263.17",50,32,17,23,18,9,27,31
"20157","ENSMUSG00000109301.2",1,0,0,0,0,0,0,1
"20158","ENSMUSG00000057667.8",80,57,74,85,43,67,87,59
"20159","ENSMUSG00000002043.18",248,244,179,222,185,122,186,88
"20160","ENSMUSG00000060621.7",0,4,1,0,0,0,1,0
"20161","ENSMUSG00000051403.10",1108,1071,1088,1274,740,717,1341,1373
"20162","ENSMUSG00000044709.7",296,295,282,382,215,214,359,352
"20163","ENSMUSG00000011267.9",4,5,3,5,1,5,8,16
"20164","ENSMUSG00000061028.8",620,822,536,702,355,379,357,266
"20165","ENSMUSG00000002983.18",139,111,111,131,109,113,231,187
"20166","ENSMUSG00000002981.11",2022,1913,1936,2078,1218,1273,1759,1672
"20167","ENSMUSG00000002992.18",0,0,0,0,0,0,0,0
"20168","ENSMUSG00000109350.2",0,0,0,0,0,0,0,0
"20169","ENSMUSG00000074336.6",1,0,0,0,0,0,0,0
"20170","ENSMUSG00000040564.15",18,8,3,4,2,1,2,6
"20171","ENSMUSG00000002985.17",2436,1891,1290,1672,1379,1603,3439,3502
"20172","ENSMUSG00000002984.18",1561,1680,1595,1834,1025,940,1331,1193
"20173","ENSMUSG00000092381.2",2,3,1,4,0,0,1,0
"20174","ENSMUSG00000062300.15",690,672,545,687,402,371,465,527
"20175","ENSMUSG00000002980.15",7095,5918,5165,5006,3377,3626,3627,4008
"20176","ENSMUSG00000109136.2",5,18,14,6,10,8,14,7
"20177","ENSMUSG00000097226.2",3,1,0,1,0,0,0,0
"20178","ENSMUSG00000040525.14",1,3,4,2,1,0,5,1
"20179","ENSMUSG00000053175.18",46,32,47,65,68,67,114,142
"20180","ENSMUSG00000087206.2",0,0,0,0,0,0,1,2
"20181","ENSMUSG00000087593.2",0,0,2,2,3,1,1,1
"20182","ENSMUSG00000109424.2",0,0,0,0,0,0,2,1
"20183","ENSMUSG00000092216.4",0,0,0,1,1,0,0,0
"20184","ENSMUSG00000014686.9",0,1,1,0,1,1,2,1
"20185","ENSMUSG00000109214.2",0,0,0,0,0,0,0,0
"20186","ENSMUSG00000049848.8",0,0,0,0,0,0,0,0
"20187","ENSMUSG00000108942.2",0,0,0,0,0,0,0,0
"20188","ENSMUSG00000040511.15",315,313,230,359,269,243,573,597
"20189","ENSMUSG00000089886.2",10,20,13,12,6,11,11,4
"20190","ENSMUSG00000090075.2",1,4,1,3,4,2,5,1
"20191","ENSMUSG00000040498.8",24,8,11,27,11,22,257,52
"20192","ENSMUSG00000109281.2",0,0,0,0,0,0,1,0
"20193","ENSMUSG00000070778.6",0,1,1,0,0,0,0,0
"20194","ENSMUSG00000070777.6",0,0,0,0,0,0,0,0
"20195","ENSMUSG00000060508.17",0,0,0,0,0,0,0,0
"20196","ENSMUSG00000119136.1",0,0,0,0,0,0,0,0
"20197","ENSMUSG00000109103.2",0,0,0,0,0,0,0,0
"20198","ENSMUSG00000095201.3",0,0,0,0,0,0,0,0
"20199","ENSMUSG00000096152.2",0,0,0,0,0,0,0,0
"20200","ENSMUSG00000096164.2",0,0,0,0,0,0,0,0
"20201","ENSMUSG00000094011.2",0,0,0,0,0,0,0,0
"20202","ENSMUSG00000109240.2",0,0,0,0,0,0,0,0
"20203","ENSMUSG00000094735.2",0,0,0,0,0,0,0,0
"20204","ENSMUSG00000094298.2",0,0,0,0,0,0,0,0
"20205","ENSMUSG00000094757.2",0,0,0,0,0,0,0,0
"20206","ENSMUSG00000109360.2",0,0,0,0,0,0,0,0
"20207","ENSMUSG00000109166.2",0,0,0,0,0,0,0,0
"20208","ENSMUSG00000109019.2",0,0,0,0,0,0,0,0
"20209","ENSMUSG00000108843.2",0,0,0,0,0,0,0,0
"20210","ENSMUSG00000095745.2",0,0,0,0,0,0,0,0
"20211","ENSMUSG00000094160.3",0,0,0,0,0,0,0,0
"20212","ENSMUSG00000095806.2",0,0,0,0,0,0,0,0
"20213","ENSMUSG00000096386.2",0,0,0,0,0,0,0,0
"20214","ENSMUSG00000094545.2",0,0,0,0,0,0,0,0
"20215","ENSMUSG00000094762.2",0,0,0,0,0,0,0,0
"20216","ENSMUSG00000096663.2",0,0,0,0,0,0,0,0
"20217","ENSMUSG00000096903.2",0,0,0,0,0,0,0,0
"20218","ENSMUSG00000096761.2",0,0,0,0,0,0,0,0
"20219","ENSMUSG00000095837.2",0,0,0,0,0,0,0,0
"20220","ENSMUSG00000109060.2",0,0,0,0,0,0,0,0
"20221","ENSMUSG00000109469.2",0,0,0,0,0,0,0,0
"20222","ENSMUSG00000095275.2",0,0,0,0,0,0,0,0
"20223","ENSMUSG00000092487.2",0,0,0,0,0,0,0,0
"20224","ENSMUSG00000095768.2",0,0,0,0,0,0,0,0
"20225","ENSMUSG00000109138.2",0,0,0,0,0,0,0,0
"20226","ENSMUSG00000095190.4",0,0,0,0,0,0,0,0
"20227","ENSMUSG00000108834.2",0,0,0,0,0,0,0,0
"20228","ENSMUSG00000094284.2",0,0,0,0,0,0,0,0
"20229","ENSMUSG00000091638.3",0,0,0,0,0,0,0,0
"20230","ENSMUSG00000094085.2",0,0,0,0,0,0,0,0
"20231","ENSMUSG00000091435.2",0,0,0,0,0,0,0,0
"20232","ENSMUSG00000095973.2",0,0,0,0,0,0,0,0
"20233","ENSMUSG00000096737.2",0,0,0,0,0,0,0,0
"20234","ENSMUSG00000094589.2",0,0,0,0,0,0,0,0
"20235","ENSMUSG00000099623.3",0,0,0,0,0,0,0,0
"20236","ENSMUSG00000109272.2",0,0,0,0,0,0,0,0
"20237","ENSMUSG00000094010.2",0,0,0,0,0,0,0,0
"20238","ENSMUSG00000094501.4",0,0,0,0,0,0,0,0
"20239","ENSMUSG00000093986.2",0,0,0,0,0,0,0,0
"20240","ENSMUSG00000092616.2",0,0,0,0,0,0,0,0
"20241","ENSMUSG00000094680.2",0,0,0,0,0,0,0,0
"20242","ENSMUSG00000094001.2",0,0,0,0,0,0,0,0
"20243","ENSMUSG00000094385.2",0,0,0,0,0,0,0,0
"20244","ENSMUSG00000109269.2",0,0,0,0,0,0,0,0
"20245","ENSMUSG00000101436.2",0,1,0,0,0,0,0,0
"20246","ENSMUSG00000109000.2",0,0,0,0,0,0,0,0
"20247","ENSMUSG00000109253.2",0,0,0,0,0,0,0,0
"20248","ENSMUSG00000094221.2",0,0,0,0,0,0,0,0
"20249","ENSMUSG00000095309.2",0,0,0,0,0,0,0,0
"20250","ENSMUSG00000096813.2",0,0,0,0,0,0,0,0
"20251","ENSMUSG00000093890.2",0,0,0,0,0,0,0,0
"20252","ENSMUSG00000095758.2",0,0,0,0,0,0,0,0
"20253","ENSMUSG00000094879.2",0,0,0,0,0,0,0,0
"20254","ENSMUSG00000095185.2",0,0,0,0,0,0,0,0
"20255","ENSMUSG00000109259.2",0,0,0,0,0,0,0,0
"20256","ENSMUSG00000109516.2",0,0,0,0,0,0,0,0
"20257","ENSMUSG00000109380.2",0,0,0,0,0,0,0,0
"20258","ENSMUSG00000108907.2",0,0,0,0,0,0,0,0
"20259","ENSMUSG00000094208.2",0,0,0,0,0,0,0,0
"20260","ENSMUSG00000096741.2",0,0,0,0,0,0,0,0
"20261","ENSMUSG00000093941.2",0,0,0,0,0,0,0,0
"20262","ENSMUSG00000108879.2",0,0,0,0,0,0,0,0
"20263","ENSMUSG00000101076.3",0,0,0,0,0,0,0,0
"20264","ENSMUSG00000109300.2",0,0,0,0,0,0,0,0
"20265","ENSMUSG00000074322.6",0,0,0,0,0,0,0,0
"20266","ENSMUSG00000101280.2",0,0,0,0,0,0,0,0
"20267","ENSMUSG00000109557.2",0,0,0,0,0,0,0,0
"20268","ENSMUSG00000109276.2",0,0,0,0,0,0,0,0
"20269","ENSMUSG00000096513.2",0,0,0,0,0,0,0,0
"20270","ENSMUSG00000096760.2",0,0,0,0,0,0,0,0
"20271","ENSMUSG00000109569.2",0,0,0,0,0,0,0,0
"20272","ENSMUSG00000095064.2",0,0,0,0,0,0,0,0
"20273","ENSMUSG00000095191.2",0,0,0,0,0,0,0,0
"20274","ENSMUSG00000092506.2",0,0,0,0,0,0,0,0
"20275","ENSMUSG00000109092.2",0,0,0,0,0,0,0,0
"20276","ENSMUSG00000095976.3",0,0,0,0,0,0,0,0
"20277","ENSMUSG00000108853.2",0,0,0,0,0,0,0,0
"20278","ENSMUSG00000109405.2",0,0,0,0,0,0,0,0
"20279","ENSMUSG00000095962.2",0,0,0,0,0,0,0,0
"20280","ENSMUSG00000095287.2",0,0,0,0,0,0,0,0
"20281","ENSMUSG00000095163.2",0,0,0,0,0,0,0,0
"20282","ENSMUSG00000109263.2",0,0,0,0,0,0,0,0
"20283","ENSMUSG00000096283.3",0,0,0,0,0,0,0,0
"20284","ENSMUSG00000109041.2",0,0,0,0,0,0,0,0
"20285","ENSMUSG00000074311.4",0,0,0,0,0,0,0,0
"20286","ENSMUSG00000096304.2",0,0,0,0,0,0,0,0
"20287","ENSMUSG00000096348.2",0,0,0,0,0,0,0,0
"20288","ENSMUSG00000095273.2",0,0,0,0,0,0,0,0
"20289","ENSMUSG00000096071.2",0,0,0,0,0,0,0,0
"20290","ENSMUSG00000094981.2",0,0,0,0,0,0,0,0
"20291","ENSMUSG00000094149.2",0,0,0,0,0,0,0,0
"20292","ENSMUSG00000109411.2",0,0,0,0,0,0,0,0
"20293","ENSMUSG00000101948.2",0,0,0,0,0,0,0,0
"20294","ENSMUSG00000109444.2",0,0,0,0,0,0,0,0
"20295","ENSMUSG00000108944.2",0,0,0,0,0,0,0,0
"20296","ENSMUSG00000093871.2",0,0,0,0,0,0,0,0
"20297","ENSMUSG00000095816.3",0,0,0,0,0,0,0,0
"20298","ENSMUSG00000093917.2",0,0,0,0,0,0,0,0
